,通知内容,通知部门,通知时间
0,关于举办学校党委理论学习中心组（扩大）集体学习的通知,党委宣传部,今天   08:44
1,关于公布吉林大学2022年度公开招聘管理系列职员拟进入下一环节人选及后续相关事宜的通知,人力资源处,昨天   17:01
2,关于公布吉林大学2022年度公开招聘专业技术人员拟进入下一环节人选及后续相关事宜的通知,人力资源处,昨天   17:02
3,关于继续领取2021年度生育护理、围产补贴的通知,校医院,昨天   10:35
4,关于加强学校消防宣传工作的通知,保卫处、党委保卫部,2022-02-28
5,关于开展2021年度人才工作奖励支持及评先评优工作的通知,人才工作办公室,2022-02-28
6,关于组织开展2022年网站群建设工作报名的通知,大数据和网络管理中心,2022-02-28
7,关于我校附属第一幼儿园补充招生的通知,附属学校管理办公室,2022-02-28
8,吉林大学国家双创示范基地“校企行”专项行动：关于转发《中国石油天然气股份有限公司测井重点实验室...,教务处,今天   11:42
9,关于加强近期研究生管理工作的通知,研究生院,今天   10:28
10,关于参加2022届全国普通高校毕业生就业工作第二次调度视频会议的通知,学生就业创业指导与服务中心,今天   10:13
11,关于建立单位基金会联络员制度的通知,校友和基金工作办公室,今天   10:05
12,转发《2022年度国家自然科学基金委员会与土耳其科学技术研究理事会合作研究项目指南》的通知,科研院,今天   08:30
13,转发《国家自然科学基金委员会数学物理科学部2022年度第一期专项项目（科技活动项目）申请指南》的通知,科研院,今天   08:27
14,关于学习贯彻习近平总书记重要讲话精神提高党史学习教育专题民主生活会质量的通知,党委组织部,昨天   18:03
15,关于2022年度全国会计专业技术中级资格考试吉林省考区报名等工作安排的通知,人力资源处,昨天   16:45
16,关于司镇通等同志职务任免的通知,党委组织部,昨天   16:38
17,关于组织返校学生座谈会的通知,党委学生工作部、党委武装部,昨天   14:54
18,关于组织申报2022年度日本文部科学省外国留学生奖学金项目的通知,国际合作与交流处,昨天   14:18
19,关于编报2022年度日常党费使用预算的通知,党委组织部,昨天   13:39
20,关于发布全国专业学位研究生教育指导委员会新一届委员的通知,研究生院,昨天   13:37
21,关于公布首批吉林省研究生精品示范课程和专业学位研究生教学案例立项建设名单的通知,研究生院,昨天   13:37
22,关于办理2021年度个人所得税综合所得汇算清缴事项的通知,财务处,昨天   13:07
23,关于开展吉林大学2022年实验技术成果奖申报工作的通知,实验室管理处,昨天   11:12
24,关于召开2022年国家双创周主题展示项目申报及校级双创实践示范基地工作研讨会的通知,教务处,昨天   10:55
25,关于转发吉林省妇联《关于做好2022年吉林省“最美家庭”寻找推荐工作的通知》的通知,妇委会,昨天   10:23
26,关于开展2022届本科毕业论文（设计）教学工作检查的通知,教务处,昨天   10:13
27,关于核实2021年全国高校科技统计相关数据的通知,科研院,昨天   09:16
28,关于申报2022年度线上中日青少年科技交流计划基层对口项目的通知,国际合作与交流处,昨天   09:08
29,关于对国家重点研发计划“合成生物学”等2个重点专项2022年度项目申报指南征求意见的通知,科研院,昨天   08:47
30,关于确认2021-2022学年春季学期研究生“助教”“助管”岗位人员的通知,研究生院,昨天   08:40
31,关于申报2022年俄乌白艺术体育类项目的通知,国际合作与交流处,昨天   08:14
32,关于申报2022年赴俄乌白专业人才培养计划的通知,国际合作与交流处,昨天   08:14
33,关于做好2022年春季学期疫情防控常态化学生动态管理工作的通知,党委学生工作部、党委武装部,2022-02-28
34,关于2021～2022学年第二学期研究生教学安排的通知,研究生院,2022-02-28
35,关于白求恩医学部机关科级干部拟聘人选的公示,白求恩医学部,2022-02-28
36,关于做好2022年国家建设高水平大学公派研究生项目申报工作的通知,研究生院,2022-02-28
37,关于开展吉林大学东北振兴发展专项研究课题结项验收工作的通知,哲学社会学院,2022-02-28
38,关于聘任郭盈等５人为副教授职务的通知,人力资源处,2022-02-28
39,关于对国家重点研发计划“国家质量基础设施体系”重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-28
40,关于对国家重点研发计划“生物大分子与微生物组”等2个重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-28
41,关于印发《吉林大学哲学社会科学学术期刊管理办法》的通知,社会科学处,2022-02-28
42,后勤处面向校内公开招聘正科级干部的通知,后勤处,2022-02-28
43,第25次CCFCSP认证报名通知,计算机科学与技术学院,2022-02-28
44,关于变更学校资产入账凭单的通知,资产管理处,2022-02-28
45,关于开展某计划某领域青年拔尖人才推荐选拔工作的通知,科研院,2022-02-28
46,关于开展2022年度“某人才计划” 申报工作的通知,科研院,2022-02-28
47,关于南岭校区给水管道漏水需停水抢修的通知,后勤服务集团,2022-02-27
48,转发科技厅社发处《关于征集2023年度吉林省科技发展计划社会发展领域项目建议的通知》,科研院,2022-02-26
49,转发吉林省科技厅《关于发布第一批“揭榜挂帅”课题榜单的通知》,科研院,2022-02-25
50,关于2021年度吉林大学“金种子”优秀人才培养计划入选人员的公示（第二批）,人力资源处,2022-02-25
51,关于公布2021-2022第二学期心理咨询时间安排的通知,学生心理健康指导中心,2022-02-25
52,转发关于依托吉林大学重庆研究院 申报2022年重庆市自然科学基金项目的通知,科研院,2022-02-25
53,转发关于征集2023年度国家自然科学基金区域创新发展联合基金（重庆）项目指南建议的通知,科研院,2022-02-25
54,关于保卫处副科级干部拟聘人选的公示,保卫处、党委保卫部,2022-02-25
55,党委学生工作部面向校内公开招聘正科级干部的通知,党委学生工作部、党委武装部,2022-02-25
56,转发科技厅高新处《关于征集2023年度吉林省科技发展计划工业高新技术领域项目建议书的通知》,科研院,2022-02-25
57,关于组织全校教职工观影活动的通知,工会,2022-02-25
58,关于研究生院科级干部拟聘人选公示的通知,研究生院,2022-02-25
59,关于开展2022年春季学期初实验室安全检查工作的通知,实验室管理处,2022-02-24
60,吉林大学国际教育学院人才派遣（II类）人员招聘启事,国际教育学院,2022-02-24
61,关于组织申报2022年度日本文部科学省外国留学生奖学金项目的通知,国际合作与交流处,2022-02-24
62,关于浴池恢复正常营业的通知,后勤服务集团,2022-02-24
63,关于开展2022年俄乌白艺术体育类项目遴选工作的通知,人力资源处,2022-02-24
64,关于开展2022年与乌克兰国立技术大学合作奖学金项目遴选工作的通知,人力资源处,2022-02-24
65,关于开展2022年艺术类人才培养特别项目遴选工作的通知,人力资源处,2022-02-24
66,国际合作与交流处面向校内公开招聘工作人员的通知,国际合作与交流处,2022-02-24
67,关于日新楼恢复营业的通知,工会,2022-02-24
68,关于文学院暨新闻与传播学院科级干部拟聘人选的公示,文学院,2022-02-24
69,关于征集建设2023年度吉林省国际科技合作平台建议的通知,科研院,2022-02-24
70,关于闲置仪器设备调剂的公告,资产管理处,2022-02-24
71,关于参加2022年全国高教处长会议的通知,教务处,2022-02-24
72,关于遴选2022年度韩国互换奖学金项目申请人的通知,研究生院,2022-02-24
73,关于公布《吉林大学“十四五”事业发展规划》的决定,发展规划处,2022-02-23
74,关于做好2022年春季学期本（预）科生第三批开学返校相关工作的通知,党委学生工作部、党委武装部,2022-02-23
75,关于做好2022年春季学期开学第三批研究生返校工作的通知,研究生院,2022-02-23
76,关于组织开展第六批“吉林省青年科技人才托举工程”人选推荐工作的通知,科研院,2022-02-23
77,转发科技厅医药健康产业处《关于征集2023年度吉林省科技发展计划医药健康领域项目指南建议的通知》,科研院,2022-02-23
78,关于做好2021-2022学年第二学期本科生退、补选选课工作的通知,教务处,2022-02-23
79,关于公共卫生学院2022年公开招聘教师拟聘人选的公示,公共卫生学院,2022-02-23
80,人才工作办公室面向校内公开招聘工作人员的通知,人才工作办公室,2022-02-23
81,关于召开2022年春季学期开学研究生返校工作视频会议的通知,研究生院,2022-02-23
82,关于组织开展2022年度“中国汽车工程学会科学技术奖”（原中国汽车工业科学技术奖）提名工作的通知,科研院,2022-02-23
83,关于马克思主义学院科级干部拟聘人选的公示,马克思主义学院,2022-02-23
84,关于申报中外语言交流合作中心新汉学计划“海外高校线上学分课”项目的通知,国际合作与交流处,2022-02-23
85,关于开展2022年春季学期开学全员核酸检测的通知,校长办公室,2022-02-23
86,关于做好2021-2022学年第二学期本科教学检查相关工作的通知,教务处,2022-02-23
87,关于2021年励新优秀青年教师培养计划中层单位推荐人选公示的通知,人力资源处,2022-02-23
88,关于2022年上半年剑桥商务英语证书考试（BEC）报名的通知,考试中心,2022-02-23
89,关于学生餐厅开餐安排的通知,后勤服务集团,2022-02-23
