country,number
美国,1968
日本,1498
韩国,875
英国,573
俄罗斯,453
加拿大,443
德国,302
澳大利亚,301
新加坡,294
法国,200
荷兰,148
西班牙,128
乌克兰,106
意大利,106
朝鲜,100
以色列,96
瑞典,77
泰国,65
奥地利,58
蒙古国,48
丹麦,47
瑞士,42
比利时,40
印度,36
马来西亚,34
挪威,30
阿根廷,30
芬兰,26
波兰,19
爱尔兰,17
捷克,16
巴西,15
印度尼西亚,15
希腊,13
葡萄牙,13
匈牙利,13
越南,11
白俄罗斯,10
南非,10
墨西哥,8
埃及,8
冰岛,8
斯里兰卡,5
斯洛伐克,5
保加利亚,4
柬埔寨,4
赞比亚,4
尼泊尔,4
立陶宛,4
秘鲁,3
伊拉克,3
菲律宾,3
哈萨克斯坦,3
也门,2
爱沙尼亚,2
埃塞俄比亚,1
卢森堡,1
尼日利亚,1
约旦,1
乍得,1
摩洛哥,1
拉脱维亚,1
塞尔维亚,1
阿曼,1
