country,number,en_name
美国,1968,United States
日本,1498,Japan
韩国,875,Dem.Rep.Korea
英国,573,United Kingdom
俄罗斯,453,Russia
加拿大,443,Canada
德国,302,Germany
澳大利亚,301,Australia
新加坡,294,Singapore Rep.
法国,200,France
荷兰,148,Netherlands
西班牙,128,Spain
乌克兰,106,Ukraine
意大利,106,Italy
朝鲜,100,Korea
以色列,96,Israel
瑞典,77,Sweden
泰国,65,Thailand
奥地利,58,Austria
蒙古国,48,Mongolia
丹麦,47,Denmark
瑞士,42,Switzerland
比利时,40, Belgium 
印度,36,India
马来西亚,34,Malaysia
挪威,30,Norway
阿根廷,30,Argentina
芬兰,26,Finland
波兰,19,Poland
爱尔兰,17,Ireland
捷克,16,Czech Rep.
巴西,15,Brazil
印度尼西亚,15,Indonesia
希腊,13,Greece
葡萄牙,13,Portugal
匈牙利,13,Hungary
越南,11,Vietnam
白俄罗斯,10,Belarus
南非,10,South Africa
墨西哥,8,Mexico
埃及,8,Egypt
冰岛,8,Iceland
斯里兰卡,5,Sri Lanka
斯洛伐克,5,Slovakia
保加利亚,4,Bulgaria
柬埔寨,4,Cambodia
赞比亚,4,Zambia
尼泊尔,4,Nepal
立陶宛,4,Lithuania
秘鲁,3,Peru
伊拉克,3,Iraq
菲律宾,3,Philippines
哈萨克斯坦,3,Kazakhstan
也门,2,Yemen
爱沙尼亚,2,Estonia
埃塞俄比亚,1,Ethiopia
卢森堡,1,Luxembourg
尼日利亚,1,Nigeria
约旦,1,Jordan
乍得,1,Chad
摩洛哥,1,Morocco
拉脱维亚,1,Latvia
塞尔维亚,1,Serbia
阿曼,1,Oman
